Row Labels,Count of Order ID,,,Row Labels,Average of Lead time,StdDev of Lead time,,,,,,,,,,,,,,
United States → Wyoming,1,,,United States → West Virginia,1638,2,,,,,,,,,,,,,,
United States → Nevada,39,,,United States → North Carolina,1334.883534,254.9894339,,,,,Grand Total,1320.841868,10194,,Grand Total,1320.841868,,,,
United States → Louisiana,42,,,United States → Kentucky,1328.446043,274.4457174,,,,,,,,,,,,,,
United States → South Carolina,42,,,United States → Ohio,1325.733475,263.9766391,,,,,,,,,,,,,,
Canada → Quebec,50,,,United States → Rhode Island,1324.803571,281.9016863,,,,,,,,,,,,,,
United States → Mississippi,53,,,United States → New York,1324.493794,249.3585025,,,,,,,,,,,,,,
United States → Utah,53,,,United States → Pennsylvania,1324.199319,261.757227,,,,,,,,,,,,,,
United States → Rhode Island,56,,,United States → Illinois,1323.150407,269.7178237,,,,,,,,,,,,,,
Canada → Ontario,58,,,United States → California,1318.427286,264.3928778,,,,,,,,,,,,,,
United States → Arkansas,60,,,United States → Florida,1311.396867,269.8082588,,,,,,,,,,,,,,
United States → Alabama,61,,,United States → Nebraska,1311.236842,237.2133757,,,,,,,,,,,,,,
United States → Oklahoma,66,,,United States → Texas,1310.305584,266.7271584,,,,,,,,,,,,,,
United States → Missouri,66,,,United States → Arizona,1309.214286,263.3924395,,,,,,,,,,,,,,
United States → Connecticut,82,,,United States → Massachusetts,1308.318519,251.9821615,,,,,,,,,,,,,,
United States → Minnesota,89,,,United States → Oklahoma,1301.363636,241.7571341,,,,,,,,,,,,,,
United States → Delaware,96,,,United States → Michigan,1300.560784,244.0543763,,,,,,,,,,,,,,
United States → Maryland,105,,,United States → New Hampshire,1300.037037,247.406001,,,,,,,,,,,,,,
United States → Wisconsin,110,,,United States → Alabama,1291.278689,253.4753197,,,,,,,,,,,,,,
United States → Oregon,124,,,Canada → British Columbia,1290.318182,308.4250911,,,,,,,,,,,,,,
United States → New Jersey,130,,,Canada → Quebec,1288.24,313.0554205,,,,,,,,,,,,,,
United States → Massachusetts,135,,,United States → Arkansas,1285.733333,284.7462663,,,,,,,,,,,,,,
United States → Kentucky,139,,,Canada → Alberta,1274.076923,292.4006735,,,,,,,,,,,,,,
United States → Indiana,149,,,United States → Wyoming,1274,#DIV/0!,,,,,,,,,,,,,,
United States → Colorado,182,,,United States → Montana,1273.8,308.3169056,,,,,,,,,,,,,,
United States → Tennessee,183,,,United States → Kansas,1273.291667,262.9869362,,,,,,,,,,,,,,
United States → Georgia,184,,,Canada → New Brunswick,1273.25,276.292159,,,,,,,,,,,,,,
United States → Arizona,224,,,Canada → Nova Scotia,1272.666667,326.9144638,,,,,,,,,,,,,,
United States → Virginia,224,,,United States → Delaware,1269.75,233.930669,,,,,,,,,,,,,,
United States → North Carolina,249,,,United States → Oregon,1267.709677,259.3676417,,,,,,,,,,,,,,
United States → Michigan,255,,,United States → Mississippi,1266.566038,263.1488691,,,,,,,,,,,,,,
United States → Florida,383,,,United States → Louisiana,1263.785714,306.77755,,,,,,,,,,,,,,
United States → Ohio,469,,,United States → South Carolina,1255.428571,241.7498347,,,,,,,,,,,,,,
United States → Illinois,492,,,United States → Utah,1253,289.7805536,,,,,,,,,,,,,,
United States → Washington,506,,,Canada → Ontario,1247.465517,272.2699393,,,,,,,,,,,,,,
United States → Pennsylvania,587,,,United States → Virginia,1229.125,256.4203956,,,,,,,,,,,,,,
United States → Texas,985,,,United States → Nevada,1226.794872,239.7723898,,,,,,,,,,,,,,
United States → New York,1128,,,Canada → Newfoundland and Labrador,1216.166667,357.4472922,,,,,,,,,,,,,,
United States → California,2001,,,United States → Maine,1137.125,189.7339773,,,,,,,,,,,,,,
Grand Total,10194,,,Grand Total,1320.841868,262.4448918,,,,,,,,,,,,,,
